"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",1.75486759979026,
"AUT","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",1.51075410855212,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",1.4044571276999,
"CAN","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",1.65604085094308,
"CZE","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",2.49541267373995,
"DNK","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",2.36723326610962,
"FIN","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",0.934818546799968,
"FRA","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",1.48781228095842,
"DEU","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",0.598671189836133,
"GRC","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",1.89227966362321,
"HUN","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",4.9258982410412,
"ISL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",1.91867688241215,
"IRL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",5.54389677754867,
"ITA","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",0.2983299980868,
"JPN","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",0.662127256391846,
"KOR","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",2.03935385840207,
"LUX","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",2.30156739719383,
"MEX","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",-0.145602472775743,
"NLD","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",1.7622452747843,
"NZL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",2.17096769051763,
"NOR","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",1.15474596577411,
"POL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",4.14699911578742,
"PRT","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",2.16440357295805,
"SVK","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",2.39856885834855,
"ESP","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",1.97918778122461,
"SWE","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",1.22557350219317,
"CHE","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",0.951267317859469,
"TUR","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",0.877433446389114,
"GBR","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",1.40864278177956,
"USA","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",2.33333870313971,
"ARG","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",-2.16295200074634,
"BRA","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",1.13476748866878,
"BGR","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",3.37162059872137,
"CHL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",1.02261446933552,
"CHN","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",6.09999999999997,
"COL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",3.26021670173665,
"CRI","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",2.0838599394344,
"EST","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",4.37096854106627,
"IND","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",4.18072519435464,
"IDN","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",5.02471402216978,
"ISR","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",3.52101763927774,
"LVA","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",2.19744176834498,
"LTU","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",3.93040795940465,
"ROU","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",4.07954285688783,
"RUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",1.38266001712758,
"SVN","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",2.44299210556171,
"ZAF","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",0.152812631342832,
"WLD","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",2.66446748056603,
"EA17","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",1.26893973482953,
"OECD","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",1.68750328976708,
