"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CPI","TOT","AGRWTH","A","2019",1.610768,
"AUT","CPI","TOT","AGRWTH","A","2019",1.530896,
"BEL","CPI","TOT","AGRWTH","A","2019",1.43682,
"CAN","CPI","TOT","AGRWTH","A","2019",1.949269,
"CZE","CPI","TOT","AGRWTH","A","2019",2.847876,
"DNK","CPI","TOT","AGRWTH","A","2019",0.7581316,
"FIN","CPI","TOT","AGRWTH","A","2019",1.024094,
"FRA","CPI","TOT","AGRWTH","A","2019",1.108255,
"DEU","CPI","TOT","AGRWTH","A","2019",1.445667,
"GRC","CPI","TOT","AGRWTH","A","2019",0.2529927,
"HUN","CPI","TOT","AGRWTH","A","2019",3.338586,
"ISL","CPI","TOT","AGRWTH","A","2019",3.013977,
"IRL","CPI","TOT","AGRWTH","A","2019",0.9390445,
"ITA","CPI","TOT","AGRWTH","A","2019",0.6112469,
"JPN","CPI","TOT","AGRWTH","A","2019",0.4769737,
"KOR","CPI","TOT","AGRWTH","A","2019",0.3829461,
"LUX","CPI","TOT","AGRWTH","A","2019",1.743321,
"MEX","CPI","TOT","AGRWTH","A","2019",3.635961,
"NLD","CPI","TOT","AGRWTH","A","2019",2.633699,
"NZL","CPI","TOT","AGRWTH","A","2019",1.619632,
"NOR","CPI","TOT","AGRWTH","A","2019",2.16773,
"POL","CPI","TOT","AGRWTH","A","2019",2.308333,
"PRT","CPI","TOT","AGRWTH","A","2019",0.3381784,
"SVK","CPI","TOT","AGRWTH","A","2019",2.664561,
"ESP","CPI","TOT","AGRWTH","A","2019",0.6995363,
"SWE","CPI","TOT","AGRWTH","A","2019",1.784151,
"CHE","CPI","TOT","AGRWTH","A","2019",0.362916,
"TUR","CPI","TOT","AGRWTH","A","2019",15.17682,
"GBR","CPI","TOT","AGRWTH","A","2019",1.7,
"USA","CPI","TOT","AGRWTH","A","2019",1.81221,
"BRA","CPI","TOT","AGRWTH","A","2019",3.732976,
"CHL","CPI","TOT","AGRWTH","A","2019",2.557545,
"CHN","CPI","TOT","AGRWTH","A","2019",2.9,
"EST","CPI","TOT","AGRWTH","A","2019",2.277259,
"IND","CPI","TOT","AGRWTH","A","2019",7.659695,
"IDN","CPI","TOT","AGRWTH","A","2019",3.030587,
"ISR","CPI","TOT","AGRWTH","A","2019",0.8415965,
"RUS","CPI","TOT","AGRWTH","A","2019",4.470367,
"SVN","CPI","TOT","AGRWTH","A","2019",1.630523,
"ZAF","CPI","TOT","AGRWTH","A","2019",4.124351,
"OECD","CPI","TOT","AGRWTH","A","2019",2.066257,
"G-7","CPI","TOT","AGRWTH","A","2019",1.52379,
"OECDE","CPI","TOT","AGRWTH","A","2019",2.606945,
"COL","CPI","TOT","AGRWTH","A","2019",3.525493,
"LVA","CPI","TOT","AGRWTH","A","2019",2.811403,
"SAU","CPI","TOT","AGRWTH","A","2019",-2.093333,
"EU28","CPI","TOT","AGRWTH","A","2019",1.4,
"EA19","CPI","TOT","AGRWTH","A","2019",1.2,
"ARG","CPI","TOT","AGRWTH","A","2019",53.54831,
"LTU","CPI","TOT","AGRWTH","A","2019",2.334509,
"CRI","CPI","TOT","AGRWTH","A","2019",2.096197,
"G-20","CPI","TOT","AGRWTH","A","2019",3.451772,
"EU27_2020","CPI","TOT","AGRWTH","A","2019",1.4,
