"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PPI","TOT_MKT","IDX2015","A","2019",111.5838,
"AUT","PPI","TOT_MKT","IDX2015","A","2019",103.7997,
"BEL","PPI","TOT_MKT","IDX2015","A","2019",111.65,
"CAN","PPI","TOT_MKT","IDX2015","A","2019",106.7825,
"CZE","PPI","TOT_MKT","IDX2015","A","2019",98.91666,
"DNK","PPI","TOT_MKT","IDX2015","A","2019",103.05,
"FIN","PPI","TOT_MKT","IDX2015","A","2019",105.45,
"FRA","PPI","TOT_MKT","IDX2015","A","2019",102.6667,
"DEU","PPI","TOT_MKT","IDX2015","A","2019",103.65,
"GRC","PPI","TOT_MKT","IDX2015","A","2019",105.1,
"HUN","PPI","TOT_MKT","IDX2015","A","2019",110.0053,
"IRL","PPI","TOT_MKT","IDX2015","A","2019",95.475,
"ITA","PPI","TOT_MKT","IDX2015","A","2019",103.1417,
"LUX","PPI","TOT_MKT","IDX2015","A","2019",107.2833,
"NLD","PPI","TOT_MKT","IDX2015","A","2019",106.2583,
"NZL","PPI","TOT_MKT","IDX2015","A","2019",111.9158,
"NOR","PPI","TOT_MKT","IDX2015","A","2019",114.1023,
"POL","PPI","TOT_MKT","IDX2015","A","2019",105.6667,
"PRT","PPI","TOT_MKT","IDX2015","A","2019",103.225,
"SVK","PPI","TOT_MKT","IDX2015","A","2019",101.6664,
"ESP","PPI","TOT_MKT","IDX2015","A","2019",104.0417,
"SWE","PPI","TOT_MKT","IDX2015","A","2019",112.3927,
"CHE","PPI","TOT_MKT","IDX2015","A","2019",99.04507,
"GBR","PPI","TOT_MKT","IDX2015","A","2019",113.9212,
"USA","PPI","TOT_MKT","IDX2015","A","2019",106.0676,
"CHL","PPI","TOT_MKT","IDX2015","A","2019",107.6656,
"COL","PPI","TOT_MKT","IDX2015","A","2019",114.3748,
"EST","PPI","TOT_MKT","IDX2015","A","2019",104.5006,
"LVA","PPI","TOT_MKT","IDX2015","A","2019",106.4583,
"LTU","PPI","TOT_MKT","IDX2015","A","2019",106.4833,
"SVN","PPI","TOT_MKT","IDX2015","A","2019",103.2533,
"EU28","PPI","TOT_MKT","IDX2015","A","2019",103.9833,
"EA19","PPI","TOT_MKT","IDX2015","A","2019",103.65,
"CRI","PPI","TOT_MKT","IDX2015","A","2019",108.0348,
"EU27_2020","PPI","TOT_MKT","IDX2015","A","2019",104.0583,
