"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AVWAGE","TOT","USD","A","2019",54401.4252961007,
"AUT","AVWAGE","TOT","USD","A","2019",53902.949044976,
"BEL","AVWAGE","TOT","USD","A","2019",55590.1304610982,
"CAN","AVWAGE","TOT","USD","A","2019",53198.172958054,
"CZE","AVWAGE","TOT","USD","A","2019",29280.7899702266,
"DNK","AVWAGE","TOT","USD","A","2019",57149.594305945,
"FIN","AVWAGE","TOT","USD","A","2019",45697.556152853,
"FRA","AVWAGE","TOT","USD","A","2019",46480.6153991188,
"DEU","AVWAGE","TOT","USD","A","2019",53637.8016034603,
"GRC","AVWAGE","TOT","USD","A","2019",27459.1258996487,
"HUN","AVWAGE","TOT","USD","A","2019",26223.196713398,
"IRL","AVWAGE","TOT","USD","A","2019",50490.4714068488,
"ITA","AVWAGE","TOT","USD","A","2019",39189.365759204,
"JPN","AVWAGE","TOT","USD","A","2019",38617.465494035,
"KOR","AVWAGE","TOT","USD","A","2019",42284.789106855,
"LUX","AVWAGE","TOT","USD","A","2019",68680.5297308777,
"MEX","AVWAGE","TOT","USD","A","2019",17594.4610524478,
"NLD","AVWAGE","TOT","USD","A","2019",56552.2904256499,
"NOR","AVWAGE","TOT","USD","A","2019",54027.4870519513,
"POL","AVWAGE","TOT","USD","A","2019",31969.5680309974,
"PRT","AVWAGE","TOT","USD","A","2019",26633.7171927498,
"SVK","AVWAGE","TOT","USD","A","2019",25452.386629151,
"ESP","AVWAGE","TOT","USD","A","2019",38757.5699607805,
"SWE","AVWAGE","TOT","USD","A","2019",46695.3498606658,
"CHE","AVWAGE","TOT","USD","A","2019",66566.7263187086,
"GBR","AVWAGE","TOT","USD","A","2019",47226.0876596286,
"USA","AVWAGE","TOT","USD","A","2019",65835.5776448653,
"EST","AVWAGE","TOT","USD","A","2019",30296.8772624036,
"ISR","AVWAGE","TOT","USD","A","2019",39403.1025725974,
"SVN","AVWAGE","TOT","USD","A","2019",40219.6209682093,
"OECD","AVWAGE","TOT","USD","A","2019",48586.9365192818,
"ISL","AVWAGE","TOT","USD","A","2019",68005.7936836116,
"NZL","AVWAGE","TOT","USD","A","2019",44030.7451831187,
"CHL","AVWAGE","TOT","USD","A","2019",26915.8365049051,
"LVA","AVWAGE","TOT","USD","A","2019",28453.5867518221,
"LTU","AVWAGE","TOT","USD","A","2019",28913.897758748,
