"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"PRT","LTINT","TOT","PC_PA","A","2019",0.7575,
"NOR","LTINT","TOT","PC_PA","A","2019",1.494167,
"AUS","LTINT","TOT","PC_PA","A","2019",1.493333,
"ITA","LTINT","TOT","PC_PA","A","2019",1.913225,
"SVK","LTINT","TOT","PC_PA","A","2019",0.2475,
"GRC","LTINT","TOT","PC_PA","A","2019",2.585833,
"MEX","LTINT","TOT","PC_PA","A","2019",7.668334,
"CHL","LTINT","TOT","PC_PA","A","2019",3.481769,
"SVN","LTINT","TOT","PC_PA","A","2019",0.275,
"CHE","LTINT","TOT","PC_PA","A","2019",-0.489,
"JPN","LTINT","TOT","PC_PA","A","2019",-0.1104167,
"ZAF","LTINT","TOT","PC_PA","A","2019",9.0725,
"DEU","LTINT","TOT","PC_PA","A","2019",-0.2536345,
"USA","LTINT","TOT","PC_PA","A","2019",2.144167,
"NZL","LTINT","TOT","PC_PA","A","2019",1.649167,
"IRL","LTINT","TOT","PC_PA","A","2019",0.3333333,
"DNK","LTINT","TOT","PC_PA","A","2019",-0.185,
"CZE","LTINT","TOT","PC_PA","A","2019",1.548333,
"LUX","LTINT","TOT","PC_PA","A","2019",-0.1195686,
"SWE","LTINT","TOT","PC_PA","A","2019",0.04666667,
"FRA","LTINT","TOT","PC_PA","A","2019",0.1302,
"ISR","LTINT","TOT","PC_PA","A","2019",1.468333,
"CAN","LTINT","TOT","PC_PA","A","2019",1.588883,
"ISL","LTINT","TOT","PC_PA","A","2019",3.974167,
"NLD","LTINT","TOT","PC_PA","A","2019",-0.07,
"FIN","LTINT","TOT","PC_PA","A","2019",0.07,
"POL","LTINT","TOT","PC_PA","A","2019",2.3475,
"GBR","LTINT","TOT","PC_PA","A","2019",0.935825,
"AUT","LTINT","TOT","PC_PA","A","2019",0.0629325,
"ESP","LTINT","TOT","PC_PA","A","2019",0.6610183,
"HUN","LTINT","TOT","PC_PA","A","2019",2.465,
"BEL","LTINT","TOT","PC_PA","A","2019",0.1933333,
"KOR","LTINT","TOT","PC_PA","A","2019",1.70225,
"EA19","LTINT","TOT","PC_PA","A","2019",0.5869417,
"COL","LTINT","TOT","PC_PA","A","2019",6.4975,
"LVA","LTINT","TOT","PC_PA","A","2019",0.3425,
"LTU","LTINT","TOT","PC_PA","A","2019",0.31,
"CRI","LTINT","TOT","PC_PA","A","2019",10.34818,
"IND","LTINT","TOT","PC_PA","A","2019",6.993,
